s2024-11-25 08:22:57,000 - ERROR - Scanning error: name 'np' is not defined
2024-11-25 08:27:00,391 - INFO - New signal detected for SUI/USDT: HTF_SUPPORT_WICK
2024-11-25 08:28:16,983 - INFO - New signal detected for BONK/USDT: HTF_SUPPORT_WICK
2024-11-25 08:28:42,407 - INFO - New signal detected for NEIRO/USDT: HTF_SUPPORT_WICK
2024-11-25 08:29:09,497 - INFO - New signal detected for WIF/USDT: HTF_SUPPORT_WICK
2024-11-25 08:29:18,994 - INFO - New signal detected for ACT/USDT: HTF_SUPPORT_WICK
2024-11-25 08:29:20,238 - ERROR - Error fetching funding rate for USDT/BRL: 'binance' object has no attribute 'futures_funding_rate'
2024-11-25 08:36:06,687 - INFO - New signal detected for APE/USDT: HTF_SUPPORT_WICK
2024-11-25 08:43:39,430 - ERROR - Error fetching funding rate for USDT/BRL: 'binance' object has no attribute 'futures_funding_rate'
2024-11-25 08:48:48,102 - INFO - New signal detected for AAVE/USDT: HTF_SUPPORT_WICK
2024-11-25 08:49:05,728 - INFO - New signal detected for EOS/USDT: HTF_SUPPORT_WICK
2024-11-25 08:50:16,022 - INFO - New signal detected for APE/USDT: HTF_SUPPORT_WICK
2024-11-25 08:55:33,884 - INFO - New signal detected for SUI/USDT: HTF_SUPPORT_WICK
2024-11-25 08:56:53,032 - INFO - New signal detected for BONK/USDT: HTF_SUPPORT_WICK
2024-11-25 08:57:53,037 - ERROR - Error fetching funding rate for USDT/BRL: 'binance' object has no attribute 'futures_funding_rate'
2024-11-25 08:58:15,361 - INFO - New signal detected for ARB/USDT: HTF_SUPPORT_WICK
2024-11-25 09:01:20,378 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:01:20,667 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:01:29,807 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:01:30,548 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:01:41,937 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:01:42,224 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:02:01,480 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:02:01,766 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:02:43,300 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:02:43,584 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:02:43,869 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:02:44,155 - INFO - New signal detected for USDC/USDT: triple_bottom
